Symbol,Company Name,Open,Day High,Day Low,Last Price,Change,PChange
NIFTY 50,N/A,23927.15,24188.45,23927.15,24131.1,216.9499999999971,0.91
BHARTIARTL,Bharti Airtel Limited,1551.15,1648.9,1551.15,1629.0,68.6,4.4
SUNPHARMA,Sun Pharmaceutical Industries Limited,1742.9,1795.8,1739.2,1784.0,49.75,2.87
CIPLA,Cipla Limited,1490.0,1547.7,1490.0,1532.0,39.25,2.63
M&M,Mahindra & Mahindra Limited,2903.0,2991.65,2903.0,2973.6,74.9,2.58
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,941.8,964.4,941.5,958.9,17.85,1.9
ONGC,Oil & Natural Gas Corporation Limited,253.8,258.65,252.25,256.95,4.75,1.88
ULTRACEMCO,UltraTech Cement Limited,10915.0,11233.0,10915.0,11188.0,190.2,1.73
ADANIPORTS,Adani Ports and Special Economic Zone Limited,1175.0,1215.6,1168.9,1187.5,19.9,1.7
RELIANCE,Reliance Industries Limited,1280.0,1299.5,1275.25,1291.5,20.7,1.63
LT,Larsen & Toubro Limited,3635.1,3750.0,3635.1,3722.0,55.95,1.53
GRASIM,Grasim Industries Limited,2565.0,2630.45,2559.0,2603.05,32.6,1.27
HINDUNILVR,Hindustan Unilever Limited,2455.1,2507.5,2455.1,2492.0,29.8,1.21
MARUTI,Maruti Suzuki India Limited,10949.95,11130.1,10920.0,11081.15,131.3,1.2
WIPRO,Wipro Limited,575.0,580.75,571.6,579.0,6.8,1.19
JSWSTEEL,JSW Steel Limited,959.0,971.7,953.4,965.2,11.05,1.16
HINDALCO,Hindalco Industries Limited,652.5,658.6,649.1,657.0,6.75,1.04
TITAN,Titan Company Limited,3212.35,3260.0,3212.35,3245.0,32.65,1.02
TATAMOTORS,Tata Motors Limited,779.5,789.4,777.05,787.35,7.9,1.01
ICICIBANK,ICICI Bank Limited,1283.1,1303.25,1283.1,1298.7,12.35,0.96
DRREDDY,Dr. Reddy's Laboratories Limited,1206.0,1219.35,1198.65,1202.45,10.5,0.88
BAJFINANCE,Bajaj Finance Limited,6519.0,6609.0,6510.35,6565.0,55.6,0.85
ADANIENT,Adani Enterprises Limited,2464.05,2520.0,2400.0,2457.0,19.9,0.82
ASIANPAINT,Asian Paints Limited,2458.05,2491.5,2455.05,2478.0,19.95,0.81
TATASTEEL,Tata Steel Limited,143.9,145.49,143.05,144.45,1.06,0.74
TRENT,Trent Limited,6750.0,6820.0,6728.1,6790.8,47.6,0.71
BEL,Bharat Electronics Limited,305.7,310.6,305.0,307.65,1.9,0.62
BPCL,Bharat Petroleum Corporation Limited,292.4,294.25,289.4,292.5,1.55,0.53
SBILIFE,SBI Life Insurance Company Limited,1442.0,1460.0,1396.65,1436.0,7.4,0.52
TCS,Tata Consultancy Services Limited,4220.0,4298.7,4195.65,4266.0,21.1,0.5
HCLTECH,HCL Technologies Limited,1842.0,1872.3,1833.95,1850.0,9.1,0.49
ITC,ITC Limited,473.2,478.9,472.6,477.0,2.1,0.44
AXISBANK,Axis Bank Limited,1133.55,1140.9,1127.7,1137.0,4.5,0.4
EICHERMOT,Eicher Motors Limited,4838.0,4864.3,4808.0,4832.2,16.5,0.34
BAJAJFINSV,Bajaj Finserv Limited,1581.9,1587.95,1574.95,1580.0,4.95,0.31
COALINDIA,Coal India Limited,415.3,418.0,411.0,416.5,1.3,0.31
BRITANNIA,Britannia Industries Limited,4880.0,4955.95,4880.0,4939.0,15.35,0.31
NTPC,NTPC Limited,363.25,365.4,360.2,363.0,0.95,0.26
BAJAJ-AUTO,Bajaj Auto Limited,9059.1,9090.9,8993.0,9029.8,16.3,0.18
HDFCBANK,HDFC Bank Limited,1801.3,1804.6,1782.9,1795.5,2.35,0.13
KOTAKBANK,Kotak Mahindra Bank Limited,1757.0,1773.6,1757.0,1761.25,2.05,0.12
APOLLOHOSP,Apollo Hospitals Enterprise Limited,6867.05,6892.45,6812.0,6849.0,7.9,0.12
INDUSINDBK,IndusInd Bank Limited,998.1,999.5,987.3,994.45,0.85,0.09
INFY,Infosys Limited,1851.1,1877.0,1845.0,1856.95,0.3,0.02
SBIN,State Bank of India,841.1,844.05,831.55,838.7,-0.15,-0.02
TECHM,Tech Mahindra Limited,1708.0,1730.0,1700.5,1713.0,-0.35,-0.02
NESTLEIND,Nestle India Limited,2227.0,2263.0,2227.0,2235.0,-1.25,-0.06
HDFCLIFE,HDFC Life Insurance Company Limited,670.0,674.1,651.3,656.0,-1.7,-0.26
HEROMOTOCO,Hero MotoCorp Limited,4798.8,4804.45,4732.1,4765.0,-18.5,-0.39
SHRIRAMFIN,Shriram Finance Limited,3057.5,3066.55,2992.2,3015.45,-28.25,-0.93
POWERGRID,Power Grid Corporation of India Limited,331.35,332.5,326.5,329.15,-4.5,-1.35
