Symbol,Day High,Day Low,Last Price,Change,PChange
NIFTY 50,24573.2,24366.3,24467.45,10.299999999999272,0.04
HDFCLIFE,651.0,635.0,650.0,16.0,2.52
HDFCBANK,1865.0,1831.15,1856.8,30.5,1.67
BAJAJFINSV,1632.25,1606.1,1629.95,22.85,1.42
APOLLOHOSP,7269.1,7125.05,7225.0,98.45,1.38
NTPC,375.15,368.0,372.5,5.05,1.37
TITAN,3383.0,3338.0,3368.0,35.25,1.06
TCS,4386.95,4289.05,4342.0,39.25,0.91
WIPRO,297.0,291.8,294.3,2.65,0.91
BAJFINANCE,6764.4,6666.85,6735.0,59.55,0.89
SBILIFE,1472.35,1435.05,1452.0,11.05,0.77
KOTAKBANK,1767.0,1746.4,1759.65,9.75,0.56
ICICIBANK,1320.0,1301.7,1315.6,7.2,0.55
TATACONSUM,963.85,949.65,960.2,5.2,0.54
SBIN,864.0,850.3,858.55,4.6,0.54
LT,3835.0,3758.05,3805.0,17.95,0.47
TECHM,1774.6,1740.6,1756.55,7.05,0.4
BEL,320.85,311.2,312.9,0.8,0.26
HCLTECH,1911.0,1877.6,1894.6,3.85,0.2
INDUSINDBK,1005.95,990.5,1000.0,1.65,0.17
SUNPHARMA,1814.85,1785.0,1801.9,1.85,0.1
INFY,1913.95,1875.0,1892.0,-0.1,-0.01
GRASIM,2724.45,2695.1,2712.0,-2.0,-0.07
M&M,3051.85,3003.0,3025.0,-2.3,-0.08
BPCL,299.55,292.85,294.0,-0.25,-0.08
TRENT,6920.0,6731.2,6835.0,-6.35,-0.09
AXISBANK,1168.0,1153.9,1158.75,-1.75,-0.15
NESTLEIND,2275.0,2241.45,2254.0,-7.7,-0.34
ASIANPAINT,2479.1,2453.2,2459.0,-10.4,-0.42
TATASTEEL,147.05,144.0,145.89,-0.65,-0.44
JSWSTEEL,1003.0,985.35,993.25,-5.55,-0.56
ONGC,264.3,260.0,260.7,-1.65,-0.63
DRREDDY,1229.1,1209.6,1216.5,-8.0,-0.65
HINDUNILVR,2493.0,2456.55,2464.9,-17.95,-0.72
HINDALCO,671.25,659.65,662.4,-5.15,-0.77
SHRIRAMFIN,3173.45,3119.7,3130.65,-24.9,-0.79
EICHERMOT,4878.8,4751.0,4803.55,-40.8,-0.84
ULTRACEMCO,11920.35,11748.05,11750.0,-102.35,-0.86
RELIANCE,1328.4,1304.05,1309.5,-13.8,-1.04
ITC,478.2,466.4,467.2,-5.35,-1.13
COALINDIA,425.9,415.0,417.2,-4.9,-1.16
ADANIENT,2530.05,2470.1,2485.0,-29.2,-1.16
HEROMOTOCO,4725.0,4615.5,4641.0,-56.0,-1.19
BRITANNIA,4973.9,4841.0,4846.0,-63.6,-1.3
POWERGRID,331.25,321.1,325.3,-4.35,-1.32
MARUTI,11300.0,11106.0,11125.0,-154.25,-1.37
ADANIPORTS,1301.0,1262.0,1267.8,-20.85,-1.62
TATAMOTORS,806.0,784.05,788.2,-13.05,-1.63
BAJAJ-AUTO,9240.0,8951.0,9000.0,-161.8,-1.77
CIPLA,1536.75,1492.25,1500.0,-33.9,-2.21
BHARTIARTL,1630.5,1582.4,1583.65,-36.9,-2.28
